zip,city,county,state,pop,jobs
20912,Takoma Park,Montgomery,MD,26140,406
20740,College Park,Prince Georges,MD,31349,406
75028,Flower Mound,Denton,TX,47804,406
98053,Redmond,King,WA,21993,405
98043,Mountlake Terrace,Snohomish,WA,21210,405
60018,Des Plaines,Cook,IL,30037,405
02054,Millis,Norfolk,MA,8233,405
92637,Laguna Hills,Orange,CA,16053,404
94542,Hayward,Alameda,CA,14699,404
18974,Warminster,Bucks,PA,40543,404
19027,Elkins Park,Montgomery,PA,20068,404
75207,Dallas,Dallas,TX,7702,404
01702,Framingham,Middlesex,MA,39799,404
02492,Needham,Norfolk,MA,20571,404
98027,Issaquah,King,WA,30989,403
60193,Schaumburg,Cook,IL,39646,403
60622,Chicago,Cook,IL,53294,403
75056,The Colony,Denton,TX,60554,403
19035,Gladwyne,Montgomery,PA,3453,403
75050,Grand Prairie,Dallas,TX,43174,403
22039,Fairfax Station,Fairfax,VI,17598,402
22030,Fairfax,Fairfax City,VI,59332,402
98133,Seattle,King,WA,48650,402
98038,Maple Valley,King,WA,35904,402
20705,Beltsville,Prince Georges,MD,27663,402
60607,Chicago,Cook,IL,29293,402
19085,Villanova,Delaware,PA,8778,402
19123,Philadelphia,Philadelphia,PA,17351,402
19444,Lafayette Hill,Montgomery,PA,10890,402
98125,Seattle,King,WA,42981,401
80221,Denver,Adams,CO,42103,401
60647,Chicago,Cook,IL,87633,401
20852,Rockville,Montgomery,MD,46178,400
20895,Kensington,Montgomery,MD,19026,400
98359,Olalla,Kitsap,WA,5044,400
60070,Prospect Heights,Cook,IL,15908,400
19462,Plymouth Meeting,Montgomery,PA,15811,400
19031,Flourtown,Montgomery,PA,4618,400
01770,Sherborn,Middlesex,MA,4316,400
22152,Springfield,Fairfax,VI,30624,399
20904,Silver Spring,Montgomery,MD,55275,399
75081,Richardson,Dallas,TX,40265,399
75051,Grand Prairie,Dallas,TX,40923,399
19106,Philadelphia,Philadelphia,PA,12592,399
19126,Philadelphia,Philadelphia,PA,15656,399
20784,Hyattsville,Prince Georges,MD,30270,398
20783,Hyattsville,Prince Georges,MD,45302,398
60641,Chicago,Cook,IL,69880,398
20724,Laurel,Anne Arundel,MD,17513,398
19040,Hatboro,Montgomery,PA,20901,398
19079,Sharon Hill,Delaware,PA,9223,398
60632,Chicago,Cook,IL,89857,398
76040,Euless,Tarrant,TX,31519,398
20194,Reston,Fairfax,VI,12467,397
22303,Alexandria,Fairfax,VI,14558,397
22066,Great Falls,Fairfax,VI,17767,397
98029,Issaquah,King,WA,29250,397
19125,Philadelphia,Philadelphia,PA,25850,397
19018,Clifton Heights,Delaware,PA,23445,397
01778,Wayland,Middlesex,MA,14088,397
91761,Ontario,San Bernardino,CA,61425,396
20190,Reston,Fairfax,VI,19950,396
60464,Palos Park,Cook,IL,9662,396
19008,Broomall,Delaware,PA,20934,396
19012,Cheltenham,Montgomery,PA,6328,396
98020,Edmonds,Snohomish,WA,19447,395
94545,Hayward,Alameda,CA,32724,395
76021,Bedford,Tarrant,TX,35794,395
02467,Chestnut Hill,Middlesex,MA,22269,395
20191,Reston,Fairfax,VI,30181,394
20855,Derwood,Montgomery,MD,15287,394
19095,Wyncote,Montgomery,PA,7070,394
19075,Oreland,Montgomery,PA,7632,394
01701,Framingham,Middlesex,MA,32590,394
02135,Brighton,Suffolk,MA,44951,394
02478,Belmont,Middlesex,MA,26099,394
92656,Aliso Viejo,Orange,CA,52268,393
20910,Silver Spring,Montgomery,MD,44301,393
98337,Bremerton,Kitsap,WA,7168,393
20759,Fulton,Howard,MD,5311,393
